event_name,category,date,start_time,venue,address,organizer,description,price,capacity,latitude,longitude,rating,rating_count,traffic_score,tags
Local Job Fair in Kandy,Business Expo,8-Jun-26,15:45,Temple of the Tooth Grounds,"32 Market Lane, Kandy",Mahaweli Event Planners,"Live performances, food stalls, and family activities.",1000,300,7.27251,80.636545,4.5376,95.32,32.33677027,"networking,student,tickets_required"
Grand Job Fair in Kandy,Theatre,27-Mar-26,15:30,Kandy Sports Complex,"198 Market Lane, Kandy",Kandy Youth Network,Hands-on workshop suitable for beginners and professionals.,0,500,7.252689,80.642615,4.5376,95.32,32.33677027,"free,registration,family"
Grand Film Night in Kandy,Art & Craft,28-Jan-24,17:30,Local Community Hall,"115 Lake Road, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,2000,100,7.314967,80.626066,4.5376,95.32,32.33677027,"professional,indoor,student"
Community Yoga Session in Kandy,Religious,20-Dec-26,22:30,Riverbank Event Space,"54 Garden Avenue, Kandy",Festival Lanka,A community-focused event bringing together locals and visitors.,0,150,7.254436,80.616064,4.5376,95.32,32.33677027,student
Annual Cricket Match in Kandy,Theatre,23-Sep-25,20:00,Kandy Cultural Centre,"19 Lake Road, Kandy",Kandy Tourism Board,An outdoor celebration showcasing local culture and crafts.,750,750,7.291874,80.593504,4.5376,95.32,32.33677027,"networking,free,professional"
Community Film Night in Kandy,Religious,21-Dec-26,7:30,Kandy Open-Air Stage,"156 Main Street, Kandy",Kandy Music Circle,An informative session with expert speakers and networking opportunities.,200,100,7.299092,80.596182,4.5376,95.32,32.33677027,"registration,outdoor,networking"
Community Handicraft Market in Kandy,Art & Craft,15-Oct-24,20:30,Temple of the Tooth Grounds,"139 Lake Road, Kandy",Kandy Foodies Club,A community-focused event bringing together locals and visitors.,300,150,7.268175,80.635197,4.5376,95.32,32.33677027,"outdoor,registration"
Grand Business Meetup in Kandy,Sports Event,2-Feb-23,13:30,Temple of the Tooth Grounds,"100 Hill Street, Kandy",Kandy Music Circle,An outdoor celebration showcasing local culture and crafts.,500,750,7.277814,80.652733,4.5376,95.32,32.33677027,"indoor,outdoor"
Monthly Music Night in Kandy,Business Expo,24-Nov-25,8:15,Pallekele International Cricket Stadium,"155 Garden Avenue, Kandy",Kandy Sports Association,Hands-on workshop suitable for beginners and professionals.,0,75,7.274601,80.652266,4.5376,95.32,32.33677027,"kids,professional,tickets_required"
Grand Startup Pitch in Kandy,Religious,4-Nov-24,17:00,Nawaloka Hall,"110 Temple Road, Kandy",Kandy Foodies Club,"Live performances, food stalls, and family activities.",0,1000,7.243093,80.637017,4.5376,95.32,32.33677027,"paid,kids"
Annual Music Night in Kandy,Cultural Festival,22-Mar-26,9:00,Nawaloka Hall,"110 Main Street, Kandy",Kandy Music Circle,Hands-on workshop suitable for beginners and professionals.,2000,150,7.273321,80.635361,4.5376,95.32,32.33677027,"kids,registration"
Local Food Festival in Kandy,Religious,1-Oct-23,13:00,Peradeniya Botanical Gardens Lawn,"194 Peradeniya Road, Kandy",Festival Lanka,"Live performances, food stalls, and family activities.",1500,300,7.240714,80.591513,4.5376,95.32,32.33677027,paid
Weekly Business Meetup in Kandy,Business Expo,21-Jul-25,15:00,Temple of the Tooth Grounds,"176 Hill Street, Kandy",Heritage Kandy,An informative session with expert speakers and networking opportunities.,300,200,7.264318,80.648205,4.5376,95.32,32.33677027,"student,free"
Weekly Book Reading in Kandy,Sports Event,15-Jul-24,19:15,Bogambara Stadium,"86 Peradeniya Road, Kandy",University of Peradeniya,"Live performances, food stalls, and family activities.",750,750,7.262295,80.600412,4.5376,95.32,32.33677027,indoor
Grand Music Night in Kandy,Academic Seminar,17-Sep-24,19:45,Kandy Town Hall,"71 Temple Road, Kandy",Local Artists Collective,Hands-on workshop suitable for beginners and professionals.,500,150,7.247062,80.612293,4.5376,95.32,32.33677027,"student,free"
Local Business Meetup in Kandy,Art & Craft,25-Oct-25,6:15,Local Community Hall,"112 Peradeniya Road, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,0,100,7.292378,80.60385,4.5376,95.32,32.33677027,kids
Weekly Yoga Session in Kandy,Educational Workshop,13-Jun-24,20:30,Kandy Regency Hotel,"146 Garden Avenue, Kandy",University of Peradeniya,An outdoor celebration showcasing local culture and crafts.,0,750,7.280498,80.657838,4.5376,95.32,32.33677027,"kids,student"
Local Job Fair in Kandy,Film Screening,4-Oct-24,18:15,Kandy Open-Air Stage,"164 Peradeniya Road, Kandy",Heritage Kandy,Hands-on workshop suitable for beginners and professionals.,1500,1000,7.255543,80.599352,4.5376,95.32,32.33677027,"outdoor,paid"
Weekly Business Meetup in Kandy,Academic Seminar,4-Jul-24,9:45,Kandy Open-Air Stage,"119 Hill Street, Kandy",Heritage Kandy,"Live performances, food stalls, and family activities.",100,400,7.304944,80.65717,4.5376,95.32,32.33677027,free
Open Film Night in Kandy,Cultural Festival,27-Mar-24,18:45,Kandy City Centre Auditorium,"135 Main Street, Kandy",Sri Lanka Conference Org,An outdoor celebration showcasing local culture and crafts.,0,75,7.264814,80.642588,4.5376,95.32,32.33677027,networking
Grand Art Fair in Kandy,Academic Seminar,14-Aug-26,18:15,Kandy Town Hall,"156 Temple Road, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,2000,300,7.25216,80.658192,4.5376,95.32,32.33677027,"indoor,registration"
Open Business Meetup in Kandy,Art & Craft,23-Oct-26,16:00,Kandy Municipal Grounds,"63 Main Street, Kandy",Local Artists Collective,"Live performances, food stalls, and family activities.",100,100,7.244137,80.595556,4.5376,95.32,32.33677027,"outdoor,family,networking"
Weekly Art Fair in Kandy,Art & Craft,4-Feb-24,14:00,Ramada Kandy Banquet,"26 Lake Road, Kandy",Peradeniya Botanical Events,"Live performances, food stalls, and family activities.",200,1000,7.284629,80.619484,4.5376,95.32,32.33677027,"kids,registration,free"
Community Job Fair in Kandy,Business Conference,27-May-24,16:45,Kandy Regency Hotel,"97 Temple Road, Kandy",Sri Lanka Conference Org,An informative session with expert speakers and networking opportunities.,750,150,7.274407,80.650449,4.5376,95.32,32.33677027,"free,indoor,registration"
Local Coding Workshop in Kandy,Art & Craft,8-Jun-26,16:00,Ramada Kandy Banquet,"164 Hill Street, Kandy",Heritage Kandy,A community-focused event bringing together locals and visitors.,500,750,7.294285,80.647167,4.5376,95.32,32.33677027,"student,free,professional"
Monthly Coding Workshop in Kandy,Sports Event,15-Mar-23,12:15,Riverbank Event Space,"175 Peradeniya Road, Kandy",Local Artists Collective,Hands-on workshop suitable for beginners and professionals.,0,1000,7.316672,80.616698,4.5376,95.32,32.33677027,"registration,tickets_required"
Grand Job Fair in Kandy,Academic Seminar,29-Aug-25,9:15,Mahaweli Reach Hotel Conference Room,"93 Peradeniya Road, Kandy",Festival Lanka,An outdoor celebration showcasing local culture and crafts.,0,200,7.293339,80.626429,4.5376,95.32,32.33677027,professional
Grand Job Fair in Kandy,Business Conference,2-Nov-23,8:15,Kandy Municipal Grounds,"120 Temple Road, Kandy",Lanka Events Co.,An informative session with expert speakers and networking opportunities.,300,1000,7.272439,80.652459,4.5376,95.32,32.33677027,registration
Monthly Yoga Session in Kandy,Sports Event,5-Feb-26,17:30,Ramada Kandy Banquet,"176 Temple Road, Kandy",University of Peradeniya,A community-focused event bringing together locals and visitors.,1000,75,7.243762,80.6403,4.5376,95.32,32.33677027,"family,registration"
Weekly Art Fair in Kandy,Cultural Festival,15-Feb-23,20:15,Kandy Sports Complex,"14 Hill Street, Kandy",University of Peradeniya,An outdoor celebration showcasing local culture and crafts.,750,300,7.306431,80.598908,4.5376,95.32,32.33677027,student
Local Business Meetup in Kandy,Art & Craft,28-Aug-24,18:00,Kandy Sports Complex,"7 Garden Avenue, Kandy",Festival Lanka,An outdoor celebration showcasing local culture and crafts.,2000,100,7.241819,80.618776,4.5376,95.32,32.33677027,"free,outdoor,tickets_required"
Monthly Job Fair in Kandy,Sports Event,27-Jan-23,21:00,Temple of the Tooth Grounds,"37 Main Street, Kandy",Local Artists Collective,A community-focused event bringing together locals and visitors.,0,750,7.299748,80.628597,4.5376,95.32,32.33677027,student
Grand Cricket Match in Kandy,Networking,4-Jul-26,14:45,Mahaweli Reach Hotel Conference Room,"184 Main Street, Kandy",Lanka Events Co.,Hands-on workshop suitable for beginners and professionals.,100,50,7.286065,80.612565,4.5376,95.32,32.33677027,kids
Local Book Reading in Kandy,Film Screening,3-Sep-26,12:30,Bogambara Stadium,"175 Market Lane, Kandy",Kandy Sports Association,An outdoor celebration showcasing local culture and crafts.,2000,500,7.284675,80.656764,4.5376,95.32,32.33677027,professional
Weekly Startup Pitch in Kandy,Theatre,16-May-26,6:15,Kandy City Centre Auditorium,"30 Lake Road, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,100,750,7.305349,80.649136,4.5376,95.32,32.33677027,"tickets_required,networking"
Annual Book Reading in Kandy,Theatre,22-Feb-24,17:45,Kandy Art Gallery,"76 Hill Street, Kandy",Festival Lanka,A community-focused event bringing together locals and visitors.,300,75,7.303903,80.61376,4.5376,95.32,32.33677027,"tickets_required,indoor,free"
Local Food Festival in Kandy,Food Event,2-Mar-24,17:45,Kandy Art Gallery,"174 Main Street, Kandy",Kandy Sports Association,Hands-on workshop suitable for beginners and professionals.,1000,150,7.318349,80.617111,4.5376,95.32,32.33677027,"family,registration,kids"
Open Handicraft Market in Kandy,Sports Event,1-Nov-24,20:15,Kandy City Centre Auditorium,"2 Peradeniya Road, Kandy",Kandy Youth Network,An informative session with expert speakers and networking opportunities.,300,750,7.251799,80.627958,4.5376,95.32,32.33677027,"student,paid"
Weekly Book Reading in Kandy,Business Conference,26-Nov-24,6:30,Kandy Lakefront Hall,"93 Market Lane, Kandy",Kandy Municipal Council,An outdoor celebration showcasing local culture and crafts.,1500,400,7.249083,80.590207,4.5376,95.32,32.33677027,"paid,tickets_required"
Local Coding Workshop in Kandy,Business Expo,30-Oct-26,22:45,Local Community Hall,"28 Garden Avenue, Kandy",Kandy Youth Network,An informative session with expert speakers and networking opportunities.,2000,100,7.253423,80.63098,4.5376,95.32,32.33677027,"free,professional,registration"
Monthly Film Night in Kandy,Sports Event,25-Aug-24,16:00,University of Peradeniya Lecture Theatre,"155 Main Street, Kandy",University of Peradeniya,A community-focused event bringing together locals and visitors.,2000,1000,7.305673,80.639644,4.5376,95.32,32.33677027,"free,professional"
Local Yoga Session in Kandy,Film Screening,6-Feb-24,10:45,Ramada Kandy Banquet,"200 Lake Road, Kandy",Kandy Sports Association,An informative session with expert speakers and networking opportunities.,200,300,7.303543,80.65902,4.5376,95.32,32.33677027,"networking,indoor,tickets_required"
Annual Tech Summit in Kandy,Networking,9-Nov-24,21:30,Mahaweli Reach Hotel Conference Room,"194 Lake Road, Kandy",Kandy Music Circle,An outdoor celebration showcasing local culture and crafts.,0,150,7.282397,80.611908,4.5376,95.32,32.33677027,"free,outdoor,networking"
Community Cultural Show in Kandy,Education,23-Feb-23,17:45,Kandy Art Gallery,"8 Peradeniya Road, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,200,200,7.268123,80.65515,4.5376,95.32,32.33677027,student
Annual Film Night in Kandy,Sports Event,29-May-25,13:45,Pallekele International Cricket Stadium,"100 Peradeniya Road, Kandy",Kandy Foodies Club,"Live performances, food stalls, and family activities.",300,50,7.301433,80.620332,4.5376,95.32,32.33677027,"tickets_required,kids,family"
Open Startup Pitch in Kandy,Food Event,9-Feb-25,15:45,Kandy Sports Complex,"66 Temple Road, Kandy",University of Peradeniya,An informative session with expert speakers and networking opportunities.,200,150,7.249151,80.594274,4.5376,95.32,32.33677027,"student,paid"
Annual Tech Summit in Kandy,Networking,18-May-26,11:15,Kandy Sports Complex,"167 Garden Avenue, Kandy",Heritage Kandy,"Live performances, food stalls, and family activities.",2000,150,7.276791,80.644942,4.5376,95.32,32.33677027,"paid,networking,professional"
Grand Film Night in Kandy,Educational Workshop,3-Mar-26,13:30,Local Community Hall,"63 Lake Road, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,2000,75,7.302121,80.625464,4.5376,95.32,32.33677027,indoor
Monthly Yoga Session in Kandy,Networking,17-Oct-23,7:45,Riverbank Event Space,"87 Hill Street, Kandy",University of Peradeniya,An informative session with expert speakers and networking opportunities.,500,400,7.281339,80.642088,4.5376,95.32,32.33677027,kids
Monthly Yoga Session in Kandy,Cultural Festival,9-Oct-24,9:15,Kandy Municipal Grounds,"200 Market Lane, Kandy",University of Peradeniya,An informative session with expert speakers and networking opportunities.,1000,500,7.262475,80.647096,4.5376,95.32,32.33677027,"student,family"
Annual Cultural Show in Kandy,Education,21-Aug-24,9:00,Kandy Open-Air Stage,"103 Hill Street, Kandy",Kandy Cultural Society,An informative session with expert speakers and networking opportunities.,200,100,7.312327,80.590092,4.5376,95.32,32.33677027,"free,indoor"
Open Tech Summit in Kandy,Sports Event,19-May-25,10:00,Nawaloka Hall,"185 Peradeniya Road, Kandy",Kandy Municipal Council,"Live performances, food stalls, and family activities.",100,500,7.300713,80.650094,4.5376,95.32,32.33677027,"professional,registration,kids"
Open Cricket Match in Kandy,Sports Event,29-Apr-24,7:45,Kandy Regency Hotel,"11 Main Street, Kandy",Festival Lanka,An informative session with expert speakers and networking opportunities.,500,300,7.26712,80.650815,4.5376,95.32,32.33677027,free
Open Coding Workshop in Kandy,Music Event,2-Jan-26,7:15,University of Peradeniya Lecture Theatre,"195 Hill Street, Kandy",Kandy Sports Association,A community-focused event bringing together locals and visitors.,1000,150,7.317345,80.652834,4.5376,95.32,32.33677027,"tickets_required,student,registration"
Monthly Cricket Match in Kandy,Networking,21-Jul-24,22:45,Kandy Open-Air Stage,"112 Main Street, Kandy",Peradeniya Botanical Events,A community-focused event bringing together locals and visitors.,0,150,7.285477,80.603946,4.5376,95.32,32.33677027,paid
Monthly Startup Pitch in Kandy,Educational Workshop,12-Jan-23,9:00,Kandy Art Gallery,"58 Peradeniya Road, Kandy",Mahaweli Event Planners,A community-focused event bringing together locals and visitors.,500,750,7.267133,80.606654,4.5376,95.32,32.33677027,registration
Local Tech Summit in Kandy,Educational Workshop,14-Jul-23,19:45,Kandy Art Gallery,"4 Main Street, Kandy",Kandy Tourism Board,A community-focused event bringing together locals and visitors.,0,500,7.302985,80.640506,4.5376,95.32,32.33677027,"outdoor,networking"
Weekly Film Night in Kandy,Film Screening,25-Mar-24,8:15,Kandy Art Gallery,"189 Hill Street, Kandy",Kandy Sports Association,"Live performances, food stalls, and family activities.",300,75,7.260228,80.605475,4.5376,95.32,32.33677027,"indoor,kids,free"
Annual Music Night in Kandy,Academic Seminar,4-Jun-23,21:45,Kandy Sports Complex,"89 Garden Avenue, Kandy",Kandy Municipal Council,An outdoor celebration showcasing local culture and crafts.,500,300,7.268446,80.646325,4.5376,95.32,32.33677027,"student,tickets_required"
Weekly Startup Pitch in Kandy,Music Event,13-Apr-24,6:00,Mahaweli Reach Hotel Conference Room,"43 Temple Road, Kandy",Kandy Tourism Board,An informative session with expert speakers and networking opportunities.,1000,150,7.284713,80.601942,4.5376,95.32,32.33677027,tickets_required
Monthly Cultural Show in Kandy,Music Event,16-Apr-25,15:15,Kandy Open-Air Stage,"60 Lake Road, Kandy",Sri Lanka Conference Org,"Live performances, food stalls, and family activities.",0,150,7.246327,80.608486,4.5376,95.32,32.33677027,free
Grand Cricket Match in Kandy,Education,18-Aug-25,21:45,Kandy Municipal Grounds,"6 Hill Street, Kandy",Sri Lanka Conference Org,Hands-on workshop suitable for beginners and professionals.,500,250,7.275751,80.594136,4.5376,95.32,32.33677027,registration
Open Art Fair in Kandy,Business Conference,21-Jul-26,21:00,Local Community Hall,"62 Market Lane, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,1500,300,7.242785,80.659739,4.5376,95.32,32.33677027,outdoor
Community Handicraft Market in Kandy,Cultural Festival,5-Nov-24,20:15,Riverbank Event Space,"49 Temple Road, Kandy",University of Peradeniya,"Live performances, food stalls, and family activities.",1000,50,7.268444,80.617754,4.5376,95.32,32.33677027,tickets_required
Grand Cultural Show in Kandy,Food Event,15-Aug-24,6:00,Pallekele International Cricket Stadium,"143 Lake Road, Kandy",Kandy Cultural Society,"Live performances, food stalls, and family activities.",300,500,7.253146,80.599946,4.5376,95.32,32.33677027,"student,indoor"
Weekly Food Festival in Kandy,Sports Event,20-Dec-25,8:45,Temple of the Tooth Grounds,"145 Garden Avenue, Kandy",Kandy Youth Network,Hands-on workshop suitable for beginners and professionals.,0,100,7.248159,80.6002,4.5376,95.32,32.33677027,"outdoor,networking"
Community Art Fair in Kandy,Market,22-Jan-25,12:30,Mahaweli Reach Hotel Conference Room,"76 Hill Street, Kandy",Kandy Cultural Society,A community-focused event bringing together locals and visitors.,200,150,7.292296,80.634755,4.5376,95.32,32.33677027,"outdoor,kids"
Grand Cultural Show in Kandy,Networking,29-May-26,15:30,Temple of the Tooth Grounds,"33 Hill Street, Kandy",Kandy Music Circle,Hands-on workshop suitable for beginners and professionals.,200,250,7.290009,80.640327,4.5376,95.32,32.33677027,"outdoor,paid"
Community Handicraft Market in Kandy,Religious,26-Nov-24,10:00,Pallekele International Cricket Stadium,"70 Garden Avenue, Kandy",Peradeniya Botanical Events,An informative session with expert speakers and networking opportunities.,750,150,7.247016,80.626038,4.5376,95.32,32.33677027,"networking,kids"
Monthly Yoga Session in Kandy,Market,28-Jul-23,7:00,Kandy Town Hall,"79 Garden Avenue, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,500,400,7.28465,80.606657,4.5376,95.32,32.33677027,outdoor
Grand Handicraft Market in Kandy,Market,12-Feb-26,19:00,Riverbank Event Space,"188 Garden Avenue, Kandy",Kandy Tourism Board,"Live performances, food stalls, and family activities.",200,100,7.255794,80.643679,4.5376,95.32,32.33677027,"outdoor,paid,family"
Grand Book Reading in Kandy,Market,30-Jul-26,8:30,Kandy City Centre Auditorium,"25 Market Lane, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,200,200,7.262573,80.631145,4.5376,95.32,32.33677027,"paid,registration,networking"
Community Art Fair in Kandy,Sports Event,9-Nov-23,14:00,Kandy City Centre Auditorium,"3 Main Street, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,1500,150,7.308326,80.656632,4.5376,95.32,32.33677027,"family,student,tickets_required"
Community Book Reading in Kandy,Networking,25-Apr-23,6:45,Local Community Hall,"86 Lake Road, Kandy",Festival Lanka,"Live performances, food stalls, and family activities.",0,150,7.282924,80.597976,4.5376,95.32,32.33677027,student
Grand Cricket Match in Kandy,Theatre,14-Oct-26,18:00,Kandy Municipal Grounds,"19 Temple Road, Kandy",Peradeniya Botanical Events,An informative session with expert speakers and networking opportunities.,750,400,7.244291,80.657433,4.5376,95.32,32.33677027,"paid,tickets_required"
Weekly Handicraft Market in Kandy,Music Event,19-Jul-24,16:30,Pallekele International Cricket Stadium,"9 Peradeniya Road, Kandy",University of Peradeniya,A community-focused event bringing together locals and visitors.,200,500,7.244041,80.597029,4.5376,95.32,32.33677027,family
Open Handicraft Market in Kandy,Market,3-Jan-24,18:00,Local Community Hall,"140 Main Street, Kandy",Kandy Foodies Club,"Live performances, food stalls, and family activities.",0,200,7.289094,80.637507,4.5376,95.32,32.33677027,"outdoor,tickets_required"
Grand Job Fair in Kandy,Sports Event,13-May-25,12:00,Kandy Open-Air Stage,"76 Main Street, Kandy",Mahaweli Event Planners,"Live performances, food stalls, and family activities.",100,100,7.266621,80.638305,4.5376,95.32,32.33677027,paid
Weekly Handicraft Market in Kandy,Market,11-Jul-24,13:00,Riverbank Event Space,"188 Temple Road, Kandy",Kandy Sports Association,A community-focused event bringing together locals and visitors.,750,400,7.315203,80.616138,4.5376,95.32,32.33677027,student
Weekly Handicraft Market in Kandy,Educational Workshop,20-Nov-23,16:15,Ramada Kandy Banquet,"66 Lake Road, Kandy",Kandy Tourism Board,Hands-on workshop suitable for beginners and professionals.,200,1000,7.310059,80.604437,4.5376,95.32,32.33677027,"outdoor,indoor"
Weekly Cultural Show in Kandy,Business Conference,30-Mar-26,20:45,Local Community Hall,"155 Hill Street, Kandy",Peradeniya Botanical Events,An outdoor celebration showcasing local culture and crafts.,300,50,7.293602,80.635098,4.5376,95.32,32.33677027,"tickets_required,indoor,kids"
Grand Tech Summit in Kandy,Sports Event,1-Sep-25,13:00,University of Peradeniya Lecture Theatre,"106 Lake Road, Kandy",Heritage Kandy,An outdoor celebration showcasing local culture and crafts.,0,75,7.297601,80.648168,4.5376,95.32,32.33677027,kids
Open Music Night in Kandy,Theatre,4-Jul-25,19:45,University of Peradeniya Lecture Theatre,"88 Hill Street, Kandy",Peradeniya Botanical Events,Hands-on workshop suitable for beginners and professionals.,2000,100,7.247267,80.599464,4.5376,95.32,32.33677027,kids
Open Yoga Session in Kandy,Education,27-May-23,7:30,Kandy Cultural Centre,"124 Garden Avenue, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,300,300,7.283671,80.598089,4.5376,95.32,32.33677027,"kids,paid"
Weekly Film Night in Kandy,Cultural Festival,17-Feb-26,8:45,Local Community Hall,"39 Peradeniya Road, Kandy",Kandy Tourism Board,"Live performances, food stalls, and family activities.",750,75,7.301028,80.598127,4.5376,95.32,32.33677027,"paid,outdoor,professional"
Weekly Yoga Session in Kandy,Educational Workshop,18-Nov-25,11:00,Mahaweli Reach Hotel Conference Room,"141 Lake Road, Kandy",Mahaweli Event Planners,"Live performances, food stalls, and family activities.",750,200,7.24403,80.606945,4.5376,95.32,32.33677027,"registration,kids"
Weekly Job Fair in Kandy,Film Screening,13-May-23,15:00,Kandy Art Gallery,"14 Peradeniya Road, Kandy",Heritage Kandy,An outdoor celebration showcasing local culture and crafts.,200,75,7.297338,80.619251,4.5376,95.32,32.33677027,"tickets_required,indoor,outdoor"
Open Yoga Session in Kandy,Networking,24-Sep-26,7:15,Local Community Hall,"29 Temple Road, Kandy",Local Artists Collective,A community-focused event bringing together locals and visitors.,100,400,7.273574,80.631868,4.5376,95.32,32.33677027,paid
Grand Startup Pitch in Kandy,Cultural Festival,13-May-24,11:30,Temple of the Tooth Grounds,"93 Hill Street, Kandy",Mahaweli Event Planners,An outdoor celebration showcasing local culture and crafts.,2000,100,7.242175,80.636778,4.5376,95.32,32.33677027,indoor
Open Book Reading in Kandy,Market,10-Feb-25,11:30,Local Community Hall,"33 Main Street, Kandy",Lanka Events Co.,An informative session with expert speakers and networking opportunities.,100,150,7.273024,80.612794,4.5376,95.32,32.33677027,family
Open Tech Summit in Kandy,Sports Event,1-Feb-26,15:30,Kandy Town Hall,"13 Temple Road, Kandy",Kandy Foodies Club,"Live performances, food stalls, and family activities.",500,750,7.307598,80.596554,4.5376,95.32,32.33677027,tickets_required
Community Job Fair in Kandy,Business Expo,8-Jul-25,18:15,Kandy Cultural Centre,"107 Peradeniya Road, Kandy",Kandy Youth Network,A community-focused event bringing together locals and visitors.,1000,75,7.287766,80.591569,4.5376,95.32,32.33677027,outdoor
Grand Cricket Match in Kandy,Business Conference,12-May-24,15:15,Kandy Open-Air Stage,"191 Lake Road, Kandy",Kandy Tourism Board,Hands-on workshop suitable for beginners and professionals.,300,300,7.278193,80.651505,4.5376,95.32,32.33677027,"indoor,paid,networking"
Community Startup Pitch in Kandy,Film Screening,14-Jun-24,13:00,Ramada Kandy Banquet,"110 Hill Street, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,100,200,7.254696,80.638077,4.5376,95.32,32.33677027,"professional,registration,indoor"
Community Cultural Show in Kandy,Academic Seminar,26-Apr-25,17:30,Kandy Town Hall,"121 Hill Street, Kandy",Kandy Tourism Board,A community-focused event bringing together locals and visitors.,1000,75,7.307642,80.63837,4.5376,95.32,32.33677027,paid
Community Film Night in Kandy,Educational Workshop,22-Sep-25,6:15,Bogambara Stadium,"35 Garden Avenue, Kandy",Kandy Cultural Society,"Live performances, food stalls, and family activities.",750,300,7.295367,80.645527,4.5376,95.32,32.33677027,tickets_required
Local Job Fair in Kandy,Networking,28-Jun-26,13:30,Ramada Kandy Banquet,"174 Main Street, Kandy",Peradeniya Botanical Events,Hands-on workshop suitable for beginners and professionals.,2000,400,7.240316,80.608313,4.5376,95.32,32.33677027,"tickets_required,student,registration"
Weekly Film Night in Kandy,Market,27-Jun-25,7:15,Mahaweli Reach Hotel Conference Room,"198 Main Street, Kandy",University of Peradeniya,An informative session with expert speakers and networking opportunities.,0,400,7.299413,80.595407,4.5376,95.32,32.33677027,"paid,student"
Community Cricket Match in Kandy,Market,23-Feb-23,13:45,Kandy Town Hall,"95 Hill Street, Kandy",University of Peradeniya,"Live performances, food stalls, and family activities.",750,300,7.300043,80.636757,4.5376,95.32,32.33677027,family
Open Tech Summit in Kandy,Networking,31-Mar-25,14:30,Local Community Hall,"154 Peradeniya Road, Kandy",Peradeniya Botanical Events,A community-focused event bringing together locals and visitors.,1500,200,7.319074,80.652331,4.5376,95.32,32.33677027,indoor
Community Tech Summit in Kandy,Educational Workshop,19-Sep-26,18:45,Riverbank Event Space,"18 Peradeniya Road, Kandy",Kandy Sports Association,Hands-on workshop suitable for beginners and professionals.,0,1000,7.290402,80.611246,4.5376,95.32,32.33677027,"student,paid,family"
Monthly Cultural Show in Kandy,Academic Seminar,4-Apr-24,8:30,Ramada Kandy Banquet,"1 Temple Road, Kandy",Kandy Sports Association,"Live performances, food stalls, and family activities.",1500,400,7.254431,80.646298,4.5376,95.32,32.33677027,professional
Open Business Meetup in Kandy,Religious,20-Jul-24,16:15,Pallekele International Cricket Stadium,"145 Hill Street, Kandy",Lanka Events Co.,"Live performances, food stalls, and family activities.",300,200,7.279036,80.631228,4.5376,95.32,32.33677027,"registration,kids"
Monthly Coding Workshop in Kandy,Networking,19-May-24,8:15,University of Peradeniya Lecture Theatre,"190 Peradeniya Road, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,100,150,7.261481,80.60224,4.5376,95.32,32.33677027,"outdoor,networking"
Open Tech Summit in Kandy,Food Event,9-Oct-26,22:45,Kandy Sports Complex,"174 Main Street, Kandy",Kandy Tourism Board,An informative session with expert speakers and networking opportunities.,2000,200,7.291468,80.609278,4.5376,95.32,32.33677027,"free,tickets_required,paid"
Local Business Meetup in Kandy,Music Event,24-Jul-24,18:45,Riverbank Event Space,"145 Main Street, Kandy",Peradeniya Botanical Events,Hands-on workshop suitable for beginners and professionals.,2000,250,7.319678,80.628004,4.5376,95.32,32.33677027,"paid,indoor,networking"
Grand Book Reading in Kandy,Sports Event,6-Aug-23,17:45,Kandy Art Gallery,"199 Peradeniya Road, Kandy",Kandy Tourism Board,A community-focused event bringing together locals and visitors.,0,100,7.310076,80.617959,4.5376,95.32,32.33677027,"paid,professional,student"
Community Book Reading in Kandy,Sports Event,10-Dec-23,20:30,Kandy Art Gallery,"135 Market Lane, Kandy",Kandy Cultural Society,An outdoor celebration showcasing local culture and crafts.,0,100,7.303435,80.595008,4.5376,95.32,32.33677027,indoor
Community Handicraft Market in Kandy,Cultural Festival,15-Jul-24,18:00,Kandy Regency Hotel,"9 Temple Road, Kandy",Heritage Kandy,An outdoor celebration showcasing local culture and crafts.,0,500,7.247308,80.599778,4.5376,95.32,32.33677027,professional
Grand Food Festival in Kandy,Business Expo,13-Nov-26,13:00,Kandy Art Gallery,"73 Temple Road, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,0,200,7.26026,80.601552,4.5376,95.32,32.33677027,"student,professional,paid"
Open Startup Pitch in Kandy,Music Event,20-Feb-23,18:15,Pallekele International Cricket Stadium,"142 Garden Avenue, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,750,150,7.26028,80.632084,4.5376,95.32,32.33677027,"tickets_required,student,professional"
